Aircraft,Engine,Role,Registration,Seats,Cargo Capacity (t),Flight Number,Date,Take-off Time (UTC),Origin Airport,Destination Airport,Distance OD (km),Distance Flown (km),CO2 (kgCO2e)
A20N,PW1127G-JM,PAX,EC-NIY,186,0,Unknown,2025-01-03,2025-01-03 09:01:12.231,LEAS,LEBL,711.581892786538,788.910969447466,8643.3874019439
A320,V2527-A5,PAX,EC-MER,180,0,VY1269,2025-01-17,2025-01-17 14:44:04.000,EFHK,LEBL,2628.05492347834,2847.98147597096,30435.5841038879
A320,V2527-A5,PAX,EC-MNZ,186,0,VY1301,2025-01-18,2025-01-18 07:42:47.000,LEAL,LEBL,403.853106187054,547.998536642004,8405.61962926513
A320,CFM56-5B4/3,PAX,EC-MAI,180,0,VY3907,2025-01-08,2025-01-08 13:34:11.000,LEPA,LEBL,201.966881210933,273.633872121065,5359.94175966675
A320,V2527-A5,PAX,EC-MJB,186,0,VY1678,2025-01-17,2025-01-17 18:08:47.476,LEST,LEBL,883.252270454504,941.152883194611,12066.0091210208
A320,CFM56-5B4/3,PAX,EC-LOB,180,0,VY3257,2025-01-18,2025-01-18 08:31:38.251,GCXO,LEZL,1390.14083431017,1492.2168134058,17211.2735952811
A20N,PW1127G-JM,PAX,EC-NAJ,186,0,VY8473,2025-01-10,2025-01-10 19:24:08.000,EGKK,LEVC,1296.59694110102,1360.6605539141,12717.4776440745
A320,CFM56-5B4/3,PAX,EC-LVU,180,0,VY3713,2025-01-09,2025-01-09 07:37:55.011,LESL,LEBL,243.204339179152,278.627146610964,5404.08768934989
A320,CFM56-5B4/P,PAX,EC-JGM,180,0,VY1509,2025-01-12,2025-01-12 21:16:20.066,LFML,LEBL,351.247659857544,432.657202274793,7258.21673604171
A321,V2533-A5,PAX,EC-MHA,220,0,Unknown,2025-01-07,2025-01-07 17:27:16.208,GCFV,LFPO,2647.15617657037,2795.06058841454,35447.3430892041
A20N,PW1127G-JM,PAX,EC-NDA,186,0,VY3908,2025-01-18,2025-01-18 09:22:08.000,LEBL,LEPA,201.966881210933,236.631498516131,4025.72693102247
